Time [s],Value,Parity Error,Framing Error
0.179025000,0x00,,
0.179112000,0x01,,
0.183960000,0x08,,
0.184047000,0x11,,
0.184135000,0x00,,
0.184222000,0x00,,
0.184310000,0x00,,
0.184398000,0x03,,
0.184485000,0x59,,
0.184573000,0x03,,
0.184660000,0x00,,
0.184748000,0x78,,
0.188827000,0x02,,
0.188914000,0xFF,,
0.189001000,0x00,,
0.189088000,0x01,,
0.193273000,0x08,,
0.193360000,0x11,,
0.193448000,0x00,,
0.193535000,0x00,,
0.193623000,0x00,,
0.193710000,0x03,,
0.193798000,0x4E,,
0.193885000,0x03,,
0.193973000,0x00,,
0.194061000,0x6D,,
0.198838000,0x02,,
0.198925000,0xFF,,
0.199011000,0x00,,
0.199099000,0x01,,
0.203276000,0x08,,
0.203363000,0x11,,
0.203451000,0x00,,
0.203539000,0x00,,
0.203626000,0x00,,
0.203714000,0x03,,
0.203801000,0x53,,
0.203889000,0x03,,
0.203976000,0x00,,
0.204064000,0x72,,
0.208866000,0x02,,
0.208953000,0xFF,,
0.209040000,0x00,,
0.209126000,0x01,,
0.214723000,0x08,,
0.214811000,0x11,,
0.214898000,0x00,,
0.214986000,0x00,,
0.215073000,0x00,,
0.215161000,0x03,,
0.215248000,0x34,,
0.215336000,0x03,,
0.215423000,0x00,,
0.215511000,0x53,,
0.218868000,0x02,,
0.218955000,0xFF,,
0.219042000,0x00,,
0.219129000,0x01,,
0.223322000,0x08,,
0.223409000,0x11,,
0.223497000,0x00,,
0.223584000,0x00,,
0.223671000,0x00,,
0.223759000,0x03,,
0.223847000,0x55,,
0.223934000,0x03,,
0.224022000,0x00,,
0.224109000,0x74,,
0.228870000,0x02,,
0.228957000,0xFF,,
0.229044000,0x00,,
0.229131000,0x01,,
0.233290000,0x08,,
0.233377000,0x11,,
0.233464000,0x00,,
0.233552000,0x00,,
0.233639000,0x00,,
0.233727000,0x03,,
0.233815000,0x35,,
0.233902000,0x03,,
0.233990000,0x00,,
0.234077000,0x54,,
0.238916000,0x02,,
0.239002000,0xFF,,
0.239090000,0x00,,
0.239176000,0x01,,
0.243294000,0x12,,
0.243382000,0x11,,
0.243469000,0x00,,
0.243557000,0x00,,
0.243645000,0x00,,
0.243732000,0x00,,
0.243820000,0x0E,,
0.243907000,0x02,,
0.243995000,0x02,,
0.244082000,0x31,,
0.244170000,0x30,,
0.244257000,0x36,,
0.244345000,0x2E,,
0.244432000,0x37,,
0.244520000,0x30,,
0.244607000,0x20,,
0.244695000,0x4D,,
0.244782000,0x48,,
0.244869000,0x7A,,
0.244957000,0x90,,
0.248944000,0x02,,
0.249031000,0xFF,,
0.249117000,0x00,,
0.249205000,0x01,,
0.253298000,0x0A,,
0.253385000,0x11,,
0.253473000,0x00,,
0.253560000,0x00,,
0.253648000,0x00,,
0.253735000,0x00,,
0.253823000,0x13,,
0.253910000,0x02,,
0.253998000,0x01,,
0.254085000,0x20,,
0.254173000,0x31,,
0.254260000,0x82,,
0.258928000,0x02,,
0.259016000,0xFF,,
0.259102000,0x00,,
0.259189000,0x01,,
0.263303000,0x02,,
0.263390000,0x81,,
0.263478000,0x00,,
0.263565000,0x83,,
0.263817000,0x04,,
0.263903000,0x82,,
0.263991000,0x00,,
0.264077000,0x76,,
0.264164000,0x00,,
0.264251000,0xFC,,
0.273343000,0x0A,,
0.273431000,0x11,,
0.273519000,0x00,,
0.273606000,0x00,,
0.273694000,0x00,,
0.273781000,0x00,,
0.273868000,0x13,,
0.273956000,0x02,,
0.274043000,0x01,,
0.274131000,0x20,,
0.274219000,0x33,,
0.274306000,0x84,,
0.278959000,0x02,,
0.279046000,0xFF,,
0.279133000,0x00,,
0.279219000,0x01,,
0.473422000,0x08,,
0.473510000,0x11,,
0.473597000,0x00,,
0.473685000,0x00,,
0.473772000,0x00,,
0.473860000,0x03,,
0.473947000,0x59,,
0.474035000,0x03,,
0.474122000,0x00,,
0.474210000,0x78,,
0.479062000,0x02,,
0.479148000,0xFF,,
0.479235000,0x00,,
0.479322000,0x01,,
0.483395000,0x08,,
0.483482000,0x11,,
0.483570000,0x00,,
0.483657000,0x00,,
0.483744000,0x00,,
0.483832000,0x03,,
0.483919000,0x4E,,
0.484007000,0x03,,
0.484094000,0x00,,
0.484182000,0x6D,,
0.489081000,0x02,,
0.489168000,0xFF,,
0.489254000,0x00,,
0.489342000,0x01,,
0.493399000,0x12,,
0.493486000,0x11,,
0.493574000,0x00,,
0.493661000,0x00,,
0.493749000,0x00,,
0.493836000,0x00,,
0.493923000,0x0E,,
0.494011000,0x02,,
0.494098000,0x02,,
0.494186000,0x31,,
0.494274000,0x30,,
0.494361000,0x37,,
0.494448000,0x2E,,
0.494536000,0x35,,
0.494623000,0x30,,
0.494711000,0x20,,
0.494799000,0x4D,,
0.494886000,0x48,,
0.494974000,0x7A,,
0.495061000,0x8F,,
0.499135000,0x02,,
0.499222000,0xFF,,
0.499309000,0x00,,
0.499395000,0x01,,
0.503402000,0x02,,
0.503490000,0x81,,
0.503577000,0x00,,
0.503665000,0x83,,
0.503997000,0x04,,
0.504084000,0x82,,
0.504171000,0x00,,
0.504258000,0x76,,
0.504344000,0x00,,
0.504431000,0xFC,,
0.673426000,0x08,,
0.673513000,0x11,,
0.673601000,0x00,,
0.673689000,0x00,,
0.673776000,0x00,,
0.673864000,0x03,,
0.673951000,0x59,,
0.674039000,0x03,,
0.674126000,0x00,,
0.674214000,0x78,,
0.679199000,0x02,,
0.679285000,0xFF,,
0.679373000,0x00,,
0.679459000,0x01,,
0.683479000,0x08,,
0.683566000,0x11,,
0.683654000,0x00,,
0.683741000,0x00,,
0.683829000,0x00,,
0.683916000,0x03,,
0.684004000,0x4E,,
0.684092000,0x03,,
0.684179000,0x00,,
0.684267000,0x6D,,
0.689209000,0x02,,
0.689296000,0xFF,,
0.689383000,0x00,,
0.689470000,0x01,,
0.693484000,0x10,,
0.693571000,0x11,,
0.693659000,0x00,,
0.693746000,0x00,,
0.693834000,0x00,,
0.693921000,0x00,,
0.694009000,0x0E,,
0.694096000,0x02,,
0.694184000,0x02,,
0.694271000,0x74,,
0.694359000,0x72,,
0.694446000,0x69,,
0.694534000,0x70,,
0.694621000,0x6C,,
0.694708000,0x65,,
0.694796000,0x20,,
0.694884000,0x6A,,
0.694971000,0x4D,,
0.699247000,0x02,,
0.699333000,0xFF,,
0.699420000,0x00,,
0.699507000,0x01,,
0.733495000,0x02,,
0.733583000,0x81,,
0.733670000,0x00,,
0.733758000,0x83,,
0.734150000,0x04,,
0.734236000,0x82,,
0.734323000,0x00,,
0.734410000,0x76,,
0.734497000,0x00,,
0.734583000,0xFC,,
0.963594000,0x02,,
0.963681000,0x81,,
0.963769000,0x00,,
0.963856000,0x83,,
0.964293000,0x04,,
0.964380000,0x82,,
0.964467000,0x00,,
0.964553000,0x76,,
0.964641000,0x00,,
0.964727000,0xFC,,
